Gouvernorat,Nombre_total_de_colis,Somme_de_Cr_apres_remise,Nombre_de_Colis_Livrés,Somme_de_Cr_apres_remise_des_colis_livrés,Nombre_de_Colis_Retournés,Somme_de_Cr_apres_remise_des_colis_retournés,Nombre_de_Colis_Non_confirmés,Somme_de_Cr_apres_remise_des_colis_non_confirmés,Nombre_hommes,Nombre_de_femmes,Nombre_hommes_livrés,Somme_de_Cr_apres_remise_pour_hommes_livrés,Nombre_hommes_retournés,Somme_de_Cr_apres_remise_pour_hommes_retournés,Nombre_hommes_non_confirmés,Somme_de_Cr_apres_remise_pour_hommes_non_confirmés,Nombre_de_femmes_livrées,Somme_de_Cr_apres_remise_pour_femmes_livrées,Nombre_de_femmes_retournées,Somme_de_Cr_apres_remise_pour_femmes_retournées,Nombre_de_femmes_non_confirmées,Somme_de_Cr_apres_remise_pour_femmes_non_confirmées
Ariana,725,79598.0,652,72593.0,71,6871.0,2.0,134.0,249,376,224,25507.0,24,2338.0,1.0,105.0,336,3846.0,1.0,3846.0,1.0,29.0
Beja,179,20102.0,166,18141.0,12,1874.0,1.0,87.0,69,76,63,6342.0,6,888.0,0.0,0.0,71,408.0,1.0,408.0,1.0,87.0
Ben Arous,608,62439.0,533,55535.0,66,5719.0,9.0,1185.0,236,278,206,21834.0,26,2516.0,4.0,574.0,243,2330.0,5.0,2330.0,5.0,611.0
Bizerte,529,61876.0,486,55705.0,39,5698.0,4.0,473.0,154,289,143,16022.0,9,1031.0,2.0,253.0,263,4112.0,2.0,4112.0,2.0,220.0
Gabès,428,46608.0,398,43511.0,28,2783.0,2.0,314.0,157,204,147,16203.0,10,935.0,0.0,0.0,186,1706.0,2.0,1706.0,2.0,314.0
Gafsa,533,61884.0,484,55648.0,48,6203.0,1.0,33.0,194,238,178,19516.0,16,1968.0,0.0,0.0,213,3079.0,1.0,3079.0,1.0,33.0
Jendouba,279,30954.0,255,28531.0,22,2230.0,2.0,193.0,105,131,96,11248.0,9,809.0,0.0,0.0,120,874.0,2.0,874.0,2.0,193.0
Kairouan,500,56463.0,437,50476.0,62,5695.0,1.0,292.0,195,228,164,18973.0,31,2674.0,0.0,0.0,204,1994.0,1.0,1994.0,1.0,292.0
Kasserine,342,37961.0,300,33058.0,41,4881.0,1.0,22.0,129,163,117,13385.0,12,1192.0,0.0,0.0,139,2749.0,1.0,2749.0,1.0,22.0
Kebili,378,41336.0,351,38782.0,25,2370.0,2.0,184.0,145,172,134,14755.0,10,1038.0,1.0,83.0,158,1144.0,1.0,1144.0,1.0,101.0
Kef,210,21084.0,197,19993.0,12,1021.0,1.0,70.0,80,99,76,7241.0,4,383.0,0.0,0.0,92,470.0,1.0,470.0,1.0,70.0
Mahdia,713,83015.0,644,75162.0,65,7227.0,4.0,626.0,248,334,217,26328.0,29,2455.0,2.0,252.0,303,3612.0,2.0,3612.0,2.0,374.0
Manouba,477,50077.0,429,45835.0,46,4010.0,2.0,232.0,152,247,134,14251.0,16,1396.0,2.0,232.0,223,1885.0,0.0,1885.0,0.0,0.0
Medenine,959,120142.0,894,111890.0,62,7788.0,3.0,464.0,367,438,340,45195.0,24,2886.0,3.0,464.0,412,2616.0,0.0,2616.0,0.0,0.0
Monastir,746,88345.0,701,83045.0,42,5121.0,3.0,179.0,247,368,230,25878.0,17,2321.0,0.0,0.0,348,2002.0,3.0,2002.0,3.0,179.0
Nabeul,863,94925.0,776,86146.0,85,8617.0,2.0,162.0,280,475,242,27379.0,37,3679.0,1.0,51.0,435,3642.0,1.0,3642.0,1.0,111.0
Sfax,886,92228.0,811,84987.0,71,6917.0,4.0,324.0,299,428,270,27717.0,26,2102.0,3.0,241.0,394,3306.0,1.0,3306.0,1.0,83.0
Sidi Bouzid,320,35336.0,281,31270.0,37,3837.0,2.0,229.0,144,135,124,13480.0,19,1889.0,1.0,123.0,119,1729.0,1.0,1729.0,1.0,106.0
Siliana,168,18068.0,147,16089.0,21,1979.0,0.0,0.0,54,85,47,5158.0,7,608.0,0.0,0.0,71,1371.0,0.0,1371.0,0.0,0.0
Sousse,630,65291.0,580,59075.0,49,5972.0,1.0,244.0,215,327,197,18590.0,18,1401.0,0.0,0.0,302,2950.0,1.0,2950.0,1.0,244.0
Tataouine,322,39369.0,302,37013.0,17,1591.0,3.0,765.0,114,147,110,12918.0,4,414.0,0.0,0.0,136,762.0,3.0,762.0,3.0,765.0
Tozeur,152,15978.0,147,15586.0,5,392.0,0.0,0.0,59,68,55,6539.0,4,296.0,0.0,0.0,67,96.0,0.0,96.0,0.0,0.0
Tunis,1615,180197.0,1442,163466.0,162,15180.0,11.0,1551.0,518,833,455,56006.0,58,6024.0,5.0,726.0,752,6138.0,6.0,6138.0,6.0,825.0
Zaghouan,132,14651.0,122,13802.0,9,794.0,1.0,55.0,44,64,38,3562.0,6,611.0,0.0,0.0,62,59.0,1.0,59.0,1.0,55.0
